gare;region;total_2018;latitude;longitude
ABANCOURT;HAUTS DE FRANCE;40228;49.6852237;1.7743058
ABBEVILLE;HAUTS DE FRANCE;710325;50.10221;1.8244900000000002
ACHIET;HAUTS DE FRANCE;92323;50.131752500000005;2.780168
AGAY;PROVENCE ALPES CÔTE D'AZUR;15093;43.4313701;6.8564997000000005
AGDE;OCCITANIE;588297;43.31728;3.4662029999999997
AGEN;NOUVELLE-AQUITAINE;1109199;44.208311;0.6209319999999999
AGONAC;NOUVELLE-AQUITAINE;1492;45.2865966;0.7486706
AIGREFEUILLE LE THOU;NOUVELLE-AQUITAINE;18670;46.09402;-0.95168
AIGUEBELLE;AUVERGNE RHÔNE-ALPES;76441;45.5437225;6.3067175
AIGUEPERSE;AUVERGNE RHÔNE-ALPES;70745;46.01478839999999;3.1982621
AILLEVILLERS;BOURGOGNE FRANCHE-COMTE;4429;47.9138876;6.3372988
AILLY SUR NOYE;HAUTS DE FRANCE;99154;49.75448;2.3641900000000002
AILLY SUR SOMME;HAUTS DE FRANCE;126145;49.92838;2.20059
AIME LA PLAGNE;AUVERGNE RHÔNE-ALPES;104267;45.5544;6.648646
AISEREY;BOURGOGNE FRANCHE-COMTE;24241;47.170501;5.1582447
AIX EN PROVENCE;PROVENCE ALPES CÔTE D'AZUR;769147;43.522912;5.445345
AIXE SUR VIENNE;NOUVELLE-AQUITAINE;5734;45.796500200000004;1.1456892
ALBERT;HAUTS DE FRANCE;447970;50.00546;2.64453
ALBERTVILLE;AUVERGNE RHÔNE-ALPES;290751;45.672977;6.383167
ALBI MADELEINE;OCCITANIE;44787;43.938010999999996;2.1409629
ALBIAS;OCCITANIE;8780;44.0919078;1.4448012
ALBIGNY NEUVILLE;AUVERGNE RHÔNE-ALPES;229444;45.874921;4.8328739999999994
ALENCON;NORMANDIE;370206;48.433884;0.098531
ALES;OCCITANIE;417520;44.127825;4.084948000000001
ALET LES BAINS;OCCITANIE;96;42.9974445;2.2518325
ALLASSAC;NOUVELLE-AQUITAINE;18504;45.2589385;1.4731471
ALLEYRAS;AUVERGNE RHÔNE-ALPES;1013;44.919216999999996;3.673517
ALOUETTE FRANCE;NOUVELLE-AQUITAINE;226428;44.793355;-0.65965
AMBAZAC;NOUVELLE-AQUITAINE;25961;45.9529056;1.406501
AMBERIEU EN BUGEY;AUVERGNE RHÔNE-ALPES;1168627;45.954008;5.342388
AMBOISE;CENTRE-VAL-DE-LOIRE;556255;47.421479999999995;0.981299
AMBRONAY PRIAY;AUVERGNE RHÔNE-ALPES;5983;46.011594099999996;5.3382579
AMIENS;HAUTS DE FRANCE;5244716;49.890746;2.312592
AMPLEPUIS;AUVERGNE RHÔNE-ALPES;276412;45.970982;4.326844
ANCENIS;PAYS DE LA LOIRE;926200;47.369334;-1.177763
ANDREZIEUX;AUVERGNE RHÔNE-ALPES;25637;45.5217037;4.254834
ANGERS MAITRE ECOLE;PAYS DE LA LOIRE;16070;47.4670899;-0.531894
ANGOULEME;NOUVELLE-AQUITAINE;1712440;45.653572;0.164608
ANGOULINS SUR MER;NOUVELLE-AQUITAINE;9187;46.108057;-1.1154503
ANNECY;AUVERGNE RHÔNE-ALPES;2209179;45.901965000000004;6.121835
ANNEMASSE;AUVERGNE RHÔNE-ALPES;618090;46.199222;6.23652
ANOR;HAUTS DE FRANCE;20097;49.984891999999995;4.0929803
ANSE;AUVERGNE RHÔNE-ALPES;397142;45.939304;4.719807
ANTIBES;PROVENCE ALPES CÔTE D'AZUR;2105087;43.585784000000004;7.119497999999999
ARC ET SENANS;BOURGOGNE FRANCHE-COMTE;43376;47.0303516;5.7767843
ARCACHON;NOUVELLE-AQUITAINE;907838;44.659009000000005;-1.16523
ARGENTAN;NORMANDIE;274448;48.738545;-0.025291
ARLES;PROVENCE ALPES CÔTE D'AZUR;646535;43.684853000000004;4.63203
ARLEUX;HAUTS DE FRANCE;39776;50.286320399999994;3.1208072999999996
ARMENTIERES;HAUTS DE FRANCE;761726;50.68084;2.87763
ARNAGE;PAYS DE LA LOIRE;14550;47.92856629999999;0.1898826
ARNEKE;HAUTS DE FRANCE;120466;50.831522;2.4083063
ARRAS;HAUTS DE FRANCE;4060559;50.286673;2.781942
ARROU;CENTRE-VAL-DE-LOIRE;7113;48.0997945;1.1285566999999999
ARTENAY;CENTRE-VAL-DE-LOIRE;62685;48.0808761;1.8833705000000003
ARTIX;NOUVELLE-AQUITAINE;33858;43.393106200000005;-0.5701881
ARVANT;AUVERGNE RHÔNE-ALPES;37485;45.365379700000005;3.3106747000000003
ASCQ;HAUTS DE FRANCE;18741;50.6218591;3.1598992000000004
ASPRES SUR BUECH;PROVENCE ALPES CÔTE D'AZUR;9306;44.519428000000005;5.7545655
ASSAT;NOUVELLE-AQUITAINE;151;43.254399299999996;-0.2950176
ASSIER;OCCITANIE;7528;44.6746197;1.8697681000000002
AUBAGNE;PROVENCE ALPES CÔTE D'AZUR;935040;43.296045;5.56658
AUBIAT;AUVERGNE RHÔNE-ALPES;7945;45.983812;3.1605115
AUBIET;OCCITANIE;7586;43.6502068;0.7891179
AUBIGNE RACAN;PAYS DE LA LOIRE;13647;47.686945;0.26577140000000005
AUBIGNY EN ARTOIS;HAUTS DE FRANCE;48982;50.35297;2.5928044999999997
AUBIN;OCCITANIE;5550;44.5272762;2.2393127999999995
AUBUSSON;NOUVELLE-AQUITAINE;4171;45.9596691;2.1617231
AUCH;OCCITANIE;191987;43.647488;0.596661
AUDRIEU;NORMANDIE;14323;49.2161315;-0.5960138
AUDRUICQ;HAUTS DE FRANCE;233256;50.87567;2.0763599999999998
AUFFAY;NORMANDIE;197127;49.716044000000004;1.098441
AULNAT AEROPORT;AUVERGNE RHÔNE-ALPES;8009;45.7920571;3.1614332000000003
AULNOYE AYMERIES;HAUTS DE FRANCE;597836;50.19749;3.8433699999999997
AUMONT AUBRAC;OCCITANIE;7100;44.7181699;3.2835489
AUNEAU;CENTRE-VAL-DE-LOIRE;30121;48.445824200000004;1.77998
AURAY;BRETAGNE;786183;47.68022;-2.999995
AUREC;AUVERGNE RHÔNE-ALPES;64270;45.3711611;4.1983439
AURILLAC;AUVERGNE RHÔNE-ALPES;136951;44.921092;2.435655
AUTERIVE;OCCITANIE;316911;43.348993;1.468831
AUTUN;BOURGOGNE FRANCHE-COMTE;63796;46.954874600000004;4.2929079
AUXONNE;BOURGOGNE FRANCHE-COMTE;270708;47.192663;5.37737
AVALLON;BOURGOGNE FRANCHE-COMTE;36833;47.4957553;3.9124462999999996
AVESNES;HAUTS DE FRANCE;153358;50.126740000000005;3.93295
AVIGNON CENTRE;PROVENCE ALPES CÔTE D'AZUR;2158528;43.9419;4.805281
AVIGNON TGV;PROVENCE ALPES CÔTE D'AZUR;3652860;43.921586;4.786079
AVIGNONET;OCCITANIE;17746;43.363876899999994;1.7872686999999998
AVORD;CENTRE-VAL-DE-LOIRE;27513;47.0349061;2.6523757000000003
AVRANCHES;NORMANDIE;16954;48.6902445;-1.3700755
AX LES THERMES;OCCITANIE;68712;42.7247967;1.8332515999999999
BAILLARGUES;OCCITANIE;156311;43.6533234;4.0071585
BAILLEUL;HAUTS DE FRANCE;944255;50.72916;2.73445
